Per-transcript fragment count rank correlation: rho=0.99108, p=0
Transcript	Length		p-value		rho
FBtr0082369	846		3.16983e-129		0.707209
FBtr0088007	756		7.62799e-100		0.670496
FBtr0074027	864		2.85043e-92		0.618337
FBtr0075839	458		1.8772e-88		0.76301
FBtr0076479	637		7.80212e-84		0.668872
FBtr0085961	649		2.30539e-76		0.640956
FBtr0114192	1944		1.65344e-72		0.392227
FBtr0082344	1030		1.08997e-71		0.517693
FBtr0082347	715		1.01536e-69		0.595122
FBtr0100231	313		1.43902e-69		0.795276
FBtr0072174	729		5.32666e-69		0.587994
FBtr0079546	454		2.1659e-66		0.693634
FBtr0078769	680		4.20178e-65		0.590367
FBtr0074731	743		1.40409e-63		0.563855
FBtr0084932	846		2.44449e-63		0.533266
FBtr0084410	903		3.66988e-63		0.518071
FBtr0072185	289		8.66697e-63		0.789462
FBtr0080524	813		3.38286e-62		0.538034
FBtr0082786	1643		8.47717e-61		0.38994
FBtr0072924	1118		9.48835e-61		0.463926
FBtr0078705	742		4.34426e-59		0.546832
FBtr0100541	608		2.18485e-57		0.58619
FBtr0071897	544		6.30214e-57		0.61077
FBtr0079016	508		3.90633e-56		0.623832
FBtr0087575	726		1.55092e-54		0.533051
FBtr0071360	521		3.97368e-54		0.60868
FBtr0071855	579		2.27169e-51		0.570847
FBtr0073097	547		5.54134e-50		0.577555
FBtr0071935	645		2.67001e-49		0.53624
FBtr0114281	507		1.54216e-47		0.583246
