Per-transcript fragment count rank correlation: rho=0.993828, p=0
Transcript	Length		p-value		rho
ENST00000586686	1082		0		0.911441
ENST00000231061	3701		0		0.705208
ENST00000392514	1218		0		0.903301
ENST00000543796	2661		0		0.664088
ENST00000245907	5101		0		0.53552
ENST00000454224	8839		0		0.453137
ENST00000314138	4916		0		0.686068
ENST00000262056	4148		0		0.543622
ENST00000316403	3080		0		0.748683
ENST00000473595	2845		0		0.747272
ENST00000519807	1826		0		0.835225
ENST00000406925	4777		0		0.551172
ENST00000415930	4000		0		0.699909
ENST00000309311	3157		0		0.871175
ENST00000320857	1671		0		0.775384
ENST00000401695	1599		0		0.891893
ENST00000440692	2814		0		0.849293
ENST00000534336	8708		0		0.745551
ENST00000533626	7540		0		0.604068
ENST00000262030	1789		0		0.764552
ENST00000450451	3127		0		0.825631
ENST00000440909	3144		0		0.803307
ENST00000370355	5362		0		0.584041
ENST00000225655	1291		0		0.898924
ENST00000322723	4034		0		0.776026
ENST00000551509	7061		0		0.560205
ENST00000501122	22743		0		0.700278
ENST00000394670	13781		0		0.357895
ENST00000361899	681		0		0.975943
ENST00000342160	14796		0		0.309184
