Per-transcript fragment count rank correlation: rho=0.982685, p=0
Transcript	Length		p-value		rho
ENST00000380394	1387		1.99014e-256		0.755296
ENST00000282388	3696		1.46479e-225		0.492902
ENST00000269593	2200		2.57681e-224		0.609909
ENST00000318607	3485		1.39322e-215		0.495716
ENST00000368984	2120		2.53287e-199		0.590338
ENST00000273550	1229		1.71162e-193		0.715688
ENST00000496634	5064		2.54564e-188		0.394599
ENST00000394332	625		1.93993e-185		0.861395
ENST00000381401	2062		7.78745e-177		0.56847
ENST00000316084	1526		2.81213e-171		0.632471
ENST00000313899	3033		2.05579e-162		0.464779
ENST00000261182	5202		6.86471e-155		0.355602
ENST00000357214	3747		2.87198e-152		0.410469
ENST00000361739	684		4.52701e-145		0.786812
ENST00000354667	3664		2.3814e-144		0.404573
ENST00000304546	2865		2.14004e-141		0.447881
ENST00000329421	1699		6.07124e-139		0.556812
ENST00000375078	2336		8.61274e-139		0.486055
ENST00000246802	1522		1.40082e-136		0.57835
ENST00000309083	1139		2.437e-136		0.647501
ENST00000295666	1427		2.4738e-134		0.589579
ENST00000230085	1755		1.16596e-133		0.540429
ENST00000558401	1715		1.70318e-128		0.536607
ENST00000301873	4443		2.86552e-128		0.350073
ENST00000457540	1044		8.75932e-126		0.648832
ENST00000262768	3652		1.46848e-125		0.37967
ENST00000222247	618		9.39078e-125		0.774749
ENST00000233809	1439		5.52295e-123		0.566618
ENST00000390548	2619		1.30196e-122		0.437016
ENST00000469257	2330		2.94953e-122		0.459828
