Per-transcript fragment count rank correlation: rho=0.994277, p=0
Transcript	Length		p-value		rho
ENSMUST00000077037	2868		0		0.685197
ENSMUST00000022704	1773		5.77892e-237		0.675862
ENSMUST00000089377	800		1.35646e-236		0.861065
ENSMUST00000020640	1447		3.3705e-236		0.724929
ENSMUST00000082223	2045		3.47576e-195		0.593856
ENSMUST00000120233	2406		9.11012e-193		0.55296
ENSMUST00000114459	4086		1.14494e-190		0.437481
ENSMUST00000085679	3105		8.04522e-183		0.484844
ENSMUST00000163460	1178		6.3812e-178		0.70531
ENSMUST00000035105	1861		1.18342e-177		0.593673
ENSMUST00000021158	981		3.71683e-177		0.748927
ENSMUST00000080300	683		6.82985e-177		0.832592
ENSMUST00000143987	1540		4.83595e-176		0.636987
ENSMUST00000178619	1693		1.41303e-175		0.613435
ENSMUST00000150350	1034		8.43289e-173		0.73003
ENSMUST00000004784	2460		5.11894e-172		0.521979
ENSMUST00000026901	710		2.43762e-171		0.816863
ENSMUST00000001547	5930		5.63699e-165		0.344602
ENSMUST00000039631	1781		1.38877e-163		0.58434
ENSMUST00000005292	1500		4.90905e-162		0.623055
ENSMUST00000170136	705		1.59362e-160		0.803518
ENSMUST00000172812	6982		1.923e-160		0.314819
ENSMUST00000006911	2053		3.74012e-160		0.546404
ENSMUST00000165532	935		3.69466e-158		0.732768
ENSMUST00000021933	1971		1.47947e-157		0.551939
ENSMUST00000072429	519		4.78101e-157		0.865116
ENSMUST00000000579	4135		7.28291e-153		0.393085
ENSMUST00000065086	2961		4.826e-152		0.456053
ENSMUST00000109737	1636		4.18568e-150		0.58385
ENSMUST00000090860	922		1.49253e-148		0.720708
