Per-transcript fragment count rank correlation: rho=0.990372, p=0
Transcript	Length		p-value		rho
ENSMUST00000166836	3028		0		0.666305
ENSMUST00000118928	1365		6.80946e-205		0.704103
ENSMUST00000053865	1595		2.25181e-193		0.651549
ENSMUST00000178644	4402		3.0447e-183		0.415401
ENSMUST00000026220	3470		9.4465e-182		0.460513
ENSMUST00000084767	1881		1.43666e-181		0.596366
ENSMUST00000118517	552		5.76407e-162		0.858902
ENSMUST00000172146	1242		6.94873e-158		0.662647
ENSMUST00000078419	552		1.21018e-149		0.842157
ENSMUST00000178743	1224		4.14836e-148		0.650393
ENSMUST00000130054	1994		1.96372e-136		0.516538
ENSMUST00000058856	3306		7.86738e-133		0.408003
ENSMUST00000140326	5815		2.69936e-126		0.306003
ENSMUST00000117219	1545		4.2051e-122		0.548555
ENSMUST00000091776	1858		1.90526e-120		0.504325
ENSMUST00000170255	1590		6.39057e-114		0.526168
ENSMUST00000041466	2492		7.15082e-112		0.428549
ENSMUST00000029124	1299		2.56446e-109		0.562612
ENSMUST00000046959	2115		3.58016e-108		0.45423
ENSMUST00000126662	2037		2.05842e-106		0.458467
ENSMUST00000075774	1922		2.48068e-100		0.458104
ENSMUST00000120780	672		6.53265e-96		0.689432
ENSMUST00000122177	720		1.24905e-92		0.663741
ENSMUST00000100526	2355		9.59641e-88		0.392829
ENSMUST00000044694	764		5.88808e-86		0.630631
ENSMUST00000082408	681		7.7412e-86		0.658375
ENSMUST00000008036	495		7.74801e-86		0.736791
ENSMUST00000026221	5453		4.02039e-84		0.258734
ENSMUST00000155812	2944		5.94143e-84		0.346781
ENSMUST00000072818	1891		7.52928e-80		0.415572
